	drawz	drawp	pi2	omegacor21	tau1	tau2	num_variants	p1_code	p2_code	p1	p2	p1_category	p2_category	p1_num_cases	p2_num_cases	num_loci	omegacor21_se	attenuation
INI30240_INI30300	60.5347904759	0.0	0.06984621962	0.977675045052	0.00978346183608	0.00979352648359	345504	INI30240	INI30300	reticulocyte_percentage	high_light_scatter_reticulocyte_count	INI	INI	322933.0	322755.0	24132	0.0161506306929	1.00102874092
HC285_HC61	3.52391123323	0.000212613339152	2.36551340189e-05	0.975629834922	0.133189067364	0.112727676636	327694	HC285	HC61	other_joint_disorder	haemorrhoids_/_piles	HC	HC	31606.0	19958.0	8	0.276859934984	0.846373346304
HC237_HC294	4.62230465268	1.8975006245e-06	0.00245615408475	0.972408417255	0.00794230158058	0.00912812979383	316944	HC237	HC294	back_problem	renal/kidney_failure	HC	HC	5950.0	7081.0	778	0.21037306935	1.14930536208
HC201_HC95	5.84764480916	2.49290873121e-09	0.0113230854373	0.971332053055	0.0424936545287	0.0351365261191	311433	HC201	HC95	ulcerative_colitis	inflammatory_bowel_disease	HC	HC	3147.0	3783.0	3526	0.166106541138	0.826865246324
INI30250_INI30290	64.4777321316	0.0	0.0752097654393	0.964977339629	0.00927954428564	0.00947563904029	345583	INI30250	INI30290	reticulocyte_count	high_light_scatter_reticulocyte_percentage	INI	INI	322934.0	322755.0	25991	0.0149660558417	1.02113193801
HC303_HC442	4.10312688281	2.03801781306e-05	0.00463895290941	0.964864738036	0.476078104754	0.0150230849123	306853	HC303	HC442	malabsorption/coeliac_disease	chronic_obstructive_airways_disease/copd	HC	HC	2094.0	7287.0	1423	0.23515352208	0.0315559248835
HC219_HC392	3.26480972105	0.000547688170469	0.0199785513745	0.963101043056	0.0499613697712	0.0125974795924	307233	HC219	HC392	hypothyroidism/myxoedema	pancreatitis	HC	HC	19920.0	2106.0	6138	0.29499454037	0.252144399765
HC166_HC203	4.47567119584	3.80858174014e-06	0.000455740773459	0.962678552921	0.14633825138	0.13435010666	315875	HC166	HC203	deep_venous_thrombosis_(dvt)	pulmonary_embolism_+/-_dvt	HC	HC	6929.0	4968.0	144	0.215091437864	0.918079213009
FH1220_HC221	15.399958724	8.1886927854e-54	0.113295107187	0.962637231556	0.00561273371116	0.0130876499552	328393	FH1220	HC221	diabetes	diabetes	FH	HC	79177.0	20440.0	37205	0.0625090786803	2.33177817241
HC55_HC86	3.25513922287	0.000566683959166	0.00273425268428	0.960127019058	0.19789636261	0.0136810137668	313465	HC55	HC86	hyperthyroidism/thyrotoxicosis	migraine	HC	HC	3647.0	12180.0	857	0.294957282414	0.0691322143892
HC303_HC366	3.50548686146	0.000227886497952	0.00450609885702	0.958341672244	0.478250262655	0.0170236135565	304792	HC303	HC366	malabsorption/coeliac_disease	allergy/hypersensitivity/anaphylaxis	HC	HC	2094.0	2491.0	1373	0.273383330224	0.035595617788
INI30000_INI30140	65.7757636969	0.0	0.0732448208457	0.95669941281	0.0102802295691	0.00853100413017	345785	INI30000	INI30140	white_blood_cell_(leukocyte)_count	neutrophill_count	INI	INI	328029.0	327479.0	25327	0.0145448621048	0.829845683191
HC133_HC179	3.7415531485	9.14432445476e-05	0.0185025212049	0.953305567293	0.00269095473803	0.0212241930585	310104	HC133	HC179	anal_fissure	iron_deficiency_anaemia	HC	HC	2721.0	7811.0	5738	0.254788727958	7.88723524723
INI30150_INI30210	67.5848702703	0.0	0.0646777799657	0.948360756895	0.0102273379786	0.0096306962488	345575	INI30150	INI30210	eosinophill_count	eosinophill_percentage	INI	INI	327479.0	327482.0	22351	0.0140321458501	0.941662069736
HC125_HC169	3.28880323415	0.00050307168318	0.00569782824812	0.939558323665	0.0272922453444	0.0521008064919	298801	HC125	HC169	anaemia	pernicious_anaemia	HC	HC	15944.0	1048.0	1703	0.285683957589	1.9089967071
FH1286_HC135	3.55627795367	0.000188073057015	0.123823371815	0.938474242227	0.00293086125308	0.0051182523721	316917	FH1286	HC135	severe_depression	anxiety/panic_attacks	FH	HC	54576.0	4986.0	39242	0.263892264455	1.74633049133
HC310_HC443	3.74451263457	9.03721409605e-05	0.0747998746478	0.937319073914	0.00630991651978	0.00875359247337	311199	HC310	HC443	hiatus_hernia	headaches_(not_migraine)	HC	HC	41260.0	2974.0	23278	0.250318042797	1.38727548073
HC125_HC136	6.69590499931	1.07170470939e-11	0.00372855495408	0.934032106675	0.0300687749092	0.093577497508	309298	HC125	HC136	anaemia	connective_tissue_disorder	HC	HC	15944.0	2515.0	1153	0.13949303444	3.11211540179
HC303_HC437	3.83778886397	6.20735766373e-05	0.00460022259365	0.922149611181	0.476495001518	0.0112645333768	306431	HC303	HC437	malabsorption/coeliac_disease	epilepsy	HC	HC	2094.0	4210.0	1410	0.240281485998	0.0236404019789
HC55_HC82	12.8236108242	6.04673450946e-38	0.0027206349356	0.918512386036	0.194215509442	0.00402828855273	304968	HC55	HC82	hyperthyroidism/thyrotoxicosis	cerebral_palsy	HC	HC	3647.0	1844.0	830	0.0716266579381	0.0207413329878
HC295_HC438	3.3400235116	0.000418856487108	0.0852362693269	0.914251890954	0.00858950950627	0.0125773528148	299856	HC295	HC438	carpal_tunnel_syndrome	hepatitis	HC	HC	8152.0	1138.0	25559	0.273726184196	1.4642690372
HC34_HC402	4.03163317038	2.76952979557e-05	0.00195387483123	0.912115760432	0.0417078717621	0.013364161375	303573	HC34	HC402	pleurisy	spinal_stenosis	HC	HC	1627.0	3114.0	593	0.226239769812	0.320422999553
INI30260_INI30270	62.0266366137	0.0	0.0587029661106	0.911439515357	0.0109341412594	0.0111648868677	345583	INI30260	INI30270	mean_reticulocyte_volume	mean_sphered_cell_volume	INI	INI	322934.0	322755.0	20287	0.0146943243277	1.02110322181
FH1065_HC299	4.70384950714	1.27650731693e-06	0.226966268112	0.910644623635	0.00368690953264	0.0033174549219	316325	FH1065	HC299	high_blood_pressure	heart_failure/pulmonary_odema	FH	HC	199068.0	4657.0	71795	0.193595611903	0.899792873281
HC243_HC443	3.6810735176	0.000116127009865	0.0245006629355	0.909857398658	0.0180091078265	0.0131021620553	311170	HC243	HC443	inguinal_hernia	headaches_(not_migraine)	HC	HC	14042.0	2974.0	7624	0.247171754193	0.727529768911
HC303_HC438	5.26570547601	6.98260109525e-08	0.00446873488402	0.906868186672	0.476417601645	0.0339258608699	299020	HC303	HC438	malabsorption/coeliac_disease	hepatitis	HC	HC	2094.0	1138.0	1336	0.172221593252	0.0712103430956
HC382_HC392	3.56178065853	0.000184174032384	0.0367420873909	0.904572581076	0.0199355110481	0.00878428848159	307233	HC382	HC392	asthma	pancreatitis	HC	HC	43626.0	2106.0	11288	0.253966391476	0.440635229285
HC303_HC402	3.77688075534	7.94023569842e-05	0.00453552653534	0.903013252608	0.477195749434	0.0121142105514	305711	HC303	HC402	malabsorption/coeliac_disease	spinal_stenosis	HC	HC	2094.0	3114.0	1387	0.239089690966	0.0253862499106
HC430_HC96	10.0015582532	7.5008810942e-24	0.00382241655729	0.896974495479	0.100997401204	0.120952139122	302193	HC430	HC96	rheumatoid_arthritis	polymyalgia_rheumatica	HC	HC	5587.0	1421.0	1155	0.0896834745918	1.19757674633
HC136_HC55	12.645143435	5.95035811995e-37	0.00275957669122	0.89355011735	0.0786454099458	0.213937065589	307990	HC136	HC55	connective_tissue_disorder	hyperthyroidism/thyrotoxicosis	HC	HC	2515.0	3647.0	850	0.0706635019162	2.72027402154
HC136_HC169	3.61347447504	0.000151060554884	0.0050052557212	0.892007485076	0.0709144618504	0.0495848766363	298404	HC136	HC169	connective_tissue_disorder	pernicious_anaemia	HC	HC	2515.0	1048.0	1494	0.246855897624	0.699220939459
HC243_HC310	12.8072283224	7.46876935208e-38	0.0502299671037	0.888071492901	0.0122174022643	0.00847954888392	325607	HC243	HC310	inguinal_hernia	hiatus_hernia	HC	HC	14042.0	41260.0	16355	0.0693414273991	0.694054979977
FH1044_HC139	3.57634693574	0.000174214586865	0.019094221287	0.885302570165	0.00942696463357	0.00127331674424	302060	FH1044	HC139	prostate_cancer	breast_cysts	FH	HC	34359.0	1398.0	5768	0.247543816658	0.135071764214
FH1001_HC133	3.20083354296	0.000685153346169	0.19040215125	0.884895721272	0.00181121055679	0.0042342477881	310262	FH1001	HC133	lung_cancer	anal_fissure	FH	HC	123832.0	2721.0	59075	0.276457900542	2.33779986111
FH1286_HC404	3.23341844298	0.000611591279208	0.112072973487	0.881883736099	0.00316321474046	0.00258308534438	324185	FH1286	HC404	severe_depression	urinary_tract_infection/kidney_infection	FH	HC	54576.0	11509.0	36332	0.272740368019	0.816601323755
HC136_HC144	3.38853404424	0.0003513365271	0.00433455738501	0.879202389974	0.0754693278992	0.0284781739193	306105	HC136	HC144	connective_tissue_disorder	chickenpox	HC	HC	2515.0	2458.0	1327	0.259463938829	0.377347655161
HC179_HC385	4.46156760164	4.06811353964e-06	0.0112887729127	0.871376922287	0.0175921028044	0.0334165278801	312930	HC179	HC385	iron_deficiency_anaemia	peripheral_vascular_disease	HC	HC	7811.0	3517.0	3533	0.195307344882	1.89951867901
HC22_HC55	10.9234328637	4.45322712355e-28	0.00265408759022	0.866417783973	0.0160132957301	0.216795315586	313332	HC22	HC55	osteoporosis	hyperthyroidism/thyrotoxicosis	HC	HC	9135.0	3647.0	832	0.0793173533251	13.5384569947
HC151_HC380	3.8560716481	5.76118644956e-05	0.00310322853828	0.865599057341	0.196217252804	0.0311209807975	299388	HC151	HC380	multiple_sclerosis	fracture_ulna	HC	HC	1467.0	1485.0	929	0.224476912344	0.158604711628
HC430_HC435	4.45433422256	4.20769610595e-06	0.00404607501951	0.862971357214	0.0991013171594	0.0246237847097	310930	HC430	HC435	rheumatoid_arthritis	ear/vestibular_disorder	HC	HC	5587.0	3088.0	1258	0.193737450783	0.248470811645
HC303_HC55	20.1965594724	5.24800850864e-91	0.0043182835129	0.857362979251	0.486943226083	0.16505161219	306071	HC303	HC55	malabsorption/coeliac_disease	hyperthyroidism/thyrotoxicosis	HC	HC	2094.0	3647.0	1322	0.0424509422222	0.338954529705
HC322_HC95	8.19774988434	1.22464147623e-16	0.00924009163391	0.855845129054	0.0409757318554	0.0402279889165	304561	HC322	HC95	crohns_disease	inflammatory_bowel_disease	HC	HC	1652.0	3783.0	2814	0.104400005017	0.981751565987
HC261_HC28	6.04175920499	7.6221429563e-10	0.00298522566462	0.855224648638	0.0527411092649	0.0690216365226	306355	HC261	HC28	eczema/dermatitis	bronchiectasis	HC	HC	11643.0	1939.0	915	0.14155225649	1.3086876155
INI30000_INI30120	66.7424691543	0.0	0.0944791597027	0.852724470775	0.00898226827042	0.00931194600552	345785	INI30000	INI30120	white_blood_cell_(leukocyte)_count	lymphocyte_count	INI	INI	328029.0	327479.0	32669	0.0127763398864	1.03670317176
HC110_HC125	6.19728798936	2.87221688081e-10	0.00501886974145	0.846975233322	0.00520303918068	0.0340096559193	318154	HC110	HC125	stroke	anaemia	HC	HC	5783.0	15944.0	1597	0.136668690365	6.53649813855
INI30040_INI30270	60.606178056	0.0	0.0577787814658	0.845013610525	0.0140361547175	0.011210323259	345640	INI30040	INI30270	mean_corpuscular_volume	mean_sphered_cell_volume	INI	INI	328031.0	322755.0	19971	0.0139426975538	0.798674814053
HC125_HC295	6.32159994408	1.29434430269e-10	0.00995288910695	0.843208388889	0.0207501720172	0.0258651397098	321187	HC125	HC295	anaemia	carpal_tunnel_syndrome	HC	HC	15944.0	8152.0	3197	0.133385281629	1.24650242361
HC38_HC41	6.47774444485	4.65519326395e-11	0.00351916667449	0.84112868112	0.322756443343	0.012583372906	316993	HC38	HC41	psoriasis	depression	HC	HC	5074.0	20461.0	1116	0.129849006592	0.0389872089792
INI30280_INI30290	60.7803287604	0.0	0.065801619174	0.839050478959	0.00764684737799	0.0101844762082	347008	INI30280	INI30290	immature_reticulocyte_fraction	high_light_scatter_reticulocyte_percentage	INI	INI	322755.0	322755.0	22834	0.0138046387058	1.33185294603
HC219_HC362	3.85556050514	5.77323834937e-05	0.0197640533976	0.838634699525	0.0503912552324	0.00479336822694	321272	HC219	HC362	hypothyroidism/myxoedema	respiratory_infection	HC	HC	19920.0	8173.0	6350	0.21751304341	0.0951230169765
HC221_HC438	4.33455785951	7.30266857745e-06	0.087246826082	0.835261445891	0.0125080923875	0.00919352057981	299862	HC221	HC438	diabetes	hepatitis	HC	HC	20440.0	1138.0	26162	0.192698188134	0.735005810238
HC133_HC136	6.54022134456	3.0713925236e-11	0.00456068415128	0.824343053462	0.0182728023417	0.0863756368014	306761	HC133	HC136	anal_fissure	connective_tissue_disorder	HC	HC	2721.0	2515.0	1399	0.126042072589	4.72700547985
INI30280_INI30300	60.8541692738	0.0	0.0708690116473	0.8221979009	0.00733398191279	0.00968187787345	347008	INI30280	INI30300	immature_reticulocyte_fraction	high_light_scatter_reticulocyte_count	INI	INI	322755.0	322755.0	24592	0.0135109543144	1.32013931703
INI30080_INI30090	67.7162221617	0.0	0.0699356127323	0.81266098844	0.0115832413245	0.00969337021746	345746	INI30080	INI30090	platelet_count	platelet_crit	INI	INI	328031.0	327881.0	24180	0.0120009794182	0.836844363847
HC125_HC55	13.4442482644	1.66385158756e-41	0.00293487765153	0.811339271563	0.0284026084593	0.200984717817	313507	HC125	HC55	anaemia	hyperthyroidism/thyrotoxicosis	HC	HC	15944.0	3647.0	920	0.060348429723	7.07627674779
HC151_HC263	3.74380139516	9.06284721277e-05	0.00310433270407	0.810639603614	0.19555411187	0.0300799034191	298769	HC151	HC263	multiple_sclerosis	nasal/sinus_disorder	HC	HC	1467.0	1327.0	927	0.21652847415	0.153818823503
INI30160_INI30220	30.4807097434	2.3476615075e-204	0.100166584355	0.808829895038	0.00351545747686	0.00298780516666	345575	INI30160	INI30220	basophill_count	basophill_percentage	INI	INI	327479.0	327482.0	34615	0.0265357959787	0.849905079587
HC156_HC96	8.94057097733	1.93582345341e-19	0.00474639654713	0.806066360584	0.0460165413929	0.106035464532	302135	HC156	HC96	nasal_polyps	polymyalgia_rheumatica	HC	HC	4608.0	1421.0	1434	0.0901582642347	2.30429018179
HC38_HC64	6.58379712067	2.29291392136e-11	0.00352486321669	0.805129723657	0.319484741307	0.0176094259642	316781	HC38	HC64	psoriasis	irritable_bowel_syndrome	HC	HC	5074.0	11556.0	1117	0.12228957073	0.0551182065602
HC219_HC385	8.48548430257	1.07411064248e-17	0.0189775419686	0.801913925971	0.0511277270234	0.0177873461264	313218	HC219	HC385	hypothyroidism/myxoedema	peripheral_vascular_disease	HC	HC	19920.0	3517.0	5944	0.0945042023975	0.347900193534
HC443_HC85	3.97139795506	3.57260530266e-05	0.00778711910242	0.800719839101	0.00673685024365	0.0434574870872	310698	HC443	HC85	headaches_(not_migraine)	enlarged_prostate	HC	HC	2974.0	5078.0	2419	0.201621657704	6.45071294677
HC221_HC392	4.20418322493	1.31013310649e-05	0.0921455362405	0.800029428023	0.0121664549424	0.00606312931068	307232	HC221	HC392	diabetes	pancreatitis	HC	HC	20440.0	2106.0	28310	0.19029366353	0.498348067647
HC261_HC362	3.57807968618	0.000173063967145	0.0041445309585	0.798752720024	0.0456200647952	0.0159385431904	320537	HC261	HC362	eczema/dermatitis	respiratory_infection	HC	HC	11643.0	8173.0	1328	0.223235028306	0.349375724518
HC310_HC427	3.6330200498	0.000140061621212	0.0859083105911	0.797219046741	0.00587744071768	0.00563485552226	313471	HC310	HC427	hiatus_hernia	ovarian_cyst_or_cysts	HC	HC	41260.0	2831.0	26930	0.219437007177	0.958726049811
FH1286_HC64	6.74840863783	7.47377368454e-12	0.154130160326	0.7942307587	0.00246742802291	0.0045304940843	324274	FH1286	HC64	severe_depression	irritable_bowel_syndrome	FH	HC	54576.0	11556.0	49980	0.117691562756	1.8361200579
HC219_HC400	4.70478911727	1.27064249296e-06	0.0192826327888	0.793465671242	0.0508008508569	0.00995662220596	310694	HC219	HC400	hypothyroidism/myxoedema	transient_ischaemic_attack_(tia)	HC	HC	19920.0	2828.0	5991	0.168650634803	0.195993217397
INI30050_INI30060	41.9277617577	0.0	0.0535406224607	0.79054039006	0.0156345806059	0.00665085343801	345751	INI30050	INI30060	mean_corpuscular_haemoglobin	mean_corpuscular_haemoglobin_concentration	INI	INI	328028.0	328025.0	18512	0.0188548197404	0.425393786098
HC169_HC179	4.36495969216	6.35731007619e-06	0.00929678381052	0.788729497057	0.0358719228452	0.0236729981905	298796	HC169	HC179	pernicious_anaemia	iron_deficiency_anaemia	HC	HC	1048.0	7811.0	2778	0.180695711457	0.659931119184
HC22_HC438	3.13001083914	0.000873999265776	0.0702237575001	0.788040771482	0.00883195432416	0.0108717281568	299859	HC22	HC438	osteoporosis	hepatitis	HC	HC	9135.0	1138.0	21057	0.251769342658	1.23095384756
HC151_HC205	3.46127520459	0.000268811454529	0.00329689210266	0.787020149386	0.194453256737	0.0167363093791	302599	HC151	HC205	multiple_sclerosis	endometriosis	HC	HC	1467.0	5391.0	998	0.227378669093	0.0860685475777
HC179_HC55	12.3491251836	2.46219919075e-35	0.00283448159668	0.786102171201	0.0196667856554	0.203552128102	313170	HC179	HC55	iron_deficiency_anaemia	hyperthyroidism/thyrotoxicosis	HC	HC	7811.0	3647.0	888	0.0636565067981	10.350045588
HC136_HC156	9.33513332726	5.04321121257e-21	0.0063275112212	0.784860187476	0.0658947679604	0.0489655889058	308612	HC136	HC156	connective_tissue_disorder	nasal_polyps	HC	HC	2515.0	4608.0	1953	0.0840759483514	0.743087659634
HC414_HC74	3.53728192409	0.000202133942474	3.0536751356e-05	0.783782555477	0.307591503332	0.41255471044	298793	HC414	HC74	cardiomyopathy	female_infertility	HC	HC	1309.0	1185.0	9	0.221577632854	1.34124221889
HC295_HC385	7.13213359637	4.94124406486e-13	0.0600588240358	0.780781787894	0.0102845393751	0.0141793537761	312951	HC295	HC385	carpal_tunnel_syndrome	peripheral_vascular_disease	HC	HC	8152.0	3517.0	18795	0.109473802943	1.37870576979
HC431_HC442	5.96721349495	1.20669771114e-09	0.189155393241	0.774223515962	0.00317153800405	0.0058587258493	304269	HC431	HC442	emphysema	chronic_obstructive_airways_disease/copd	HC	HC	1581.0	7287.0	57554	0.129746240287	1.8472822466
HC307_HC95	6.55967099514	2.6963312015e-11	0.0157335159776	0.77243316332	0.0187468798629	0.0324968237881	299278	HC307	HC95	colitis/not_crohns_or_ulcerative_colitis	inflammatory_bowel_disease	HC	HC	1095.0	3783.0	4709	0.117754863604	1.73345239452
HC385_HC55	12.3197697322	3.54482167709e-35	0.0027066644181	0.77078782108	0.0276751676903	0.205837812761	310538	HC385	HC55	peripheral_vascular_disease	hyperthyroidism/thyrotoxicosis	HC	HC	3517.0	3647.0	841	0.0625651158939	7.43763561125
HC38_HC435	4.74416920554	1.04681898226e-06	0.00339152685003	0.76909137764	0.323360368056	0.0215988751225	310758	HC38	HC435	psoriasis	ear/vestibular_disorder	HC	HC	5074.0	3088.0	1054	0.162112973699	0.0667950598039
HC34_HC385	11.0603105445	9.7709874458e-29	0.0307046356702	0.7661343887	0.00131829276098	0.0206476049233	303794	HC34	HC385	pleurisy	peripheral_vascular_disease	HC	HC	1627.0	3517.0	9328	0.0692687954482	15.6623820857
HC435_HC85	5.50994605668	1.79471841461e-08	0.00984344754395	0.763803586471	0.00373953891946	0.0390631202799	311091	HC435	HC85	ear/vestibular_disorder	enlarged_prostate	HC	HC	3088.0	5078.0	3062	0.138622697684	10.4459723836
HC129_HC437	7.74408555899	4.81360843259e-15	0.151972080113	0.763792332718	0.00352732345954	0.000670164941729	309509	HC129	HC437	muscle_or_soft_tissue_injuries	epilepsy	HC	HC	2822.0	4210.0	47037	0.0986291185576	0.189992482803
HC406_HC8	3.68606156609	0.000113875638317	1.31395275638e-05	0.763146351006	0.109414441775	0.101852700378	302788	HC406	HC8	fracture_neck_of_femur_/_hip	gall_bladder_disease	HC	HC	2335.0	1639.0	4	0.207035703914	0.930889000809
HC142_HC385	4.25051411717	1.06640195884e-05	0.0244615448814	0.761297746132	0.00854367718632	0.0235364942198	311455	HC142	HC385	synovitis	peripheral_vascular_disease	HC	HC	4303.0	3517.0	7619	0.179107215068	2.7548435769
HC156_HC392	3.64458274861	0.000133912978134	0.0170687682386	0.759859370651	0.0268335095631	0.0166503566432	306820	HC156	HC392	nasal_polyps	pancreatitis	HC	HC	4608.0	2106.0	5237	0.208490085989	0.620506110244
HC179_HC62	3.13316693598	0.000864655288384	0.0118632337093	0.758379232988	0.0178388720251	0.0223164135742	305006	HC179	HC62	iron_deficiency_anaemia	tuberculosis_(tb)	HC	HC	7811.0	1739.0	3618	0.242048779552	1.25099914069
HC269_HC326	14.5146110777	4.895572081e-48	0.0354663912489	0.757527670237	0.0184087144551	0.015057014604	324621	HC269	HC326	high_cholesterol	heart_attack/myocardial_infarction	HC	HC	43054.0	12138.0	11513	0.052190697097	0.817928630526
FH1220_HC133	4.55769933498	2.58584996564e-06	0.103713220121	0.75591351511	0.00608534764291	0.00557298561604	310262	FH1220	HC133	diabetes	anal_fissure	FH	HC	79177.0	2721.0	32178	0.165854186411	0.915803984105
FH1286_HC85	8.29473014292	5.44159911145e-17	0.0206409178924	0.755315467358	0.00703313767326	0.0273726320051	318852	FH1286	HC85	severe_depression	enlarged_prostate	FH	HC	54576.0	5078.0	6581	0.09105967938	3.89195168313
HC376_HC385	6.12498286717	4.53466824539e-10	0.156009007985	0.754792704483	0.00387174605354	0.00701727692242	313228	HC376	HC385	osteoarthritis	peripheral_vascular_disease	HC	HC	29946.0	3517.0	48866	0.12323180666	1.81243212375
INI30130_INI30190	53.832225132	0.0	0.053760404071	0.754351270678	0.0116000437666	0.0103235521728	345575	INI30130	INI30190	monocyte_count	monocyte_percentage	INI	INI	327479.0	327482.0	18578	0.0140130055711	0.88995803641
HC310_HC357	5.79193191111	3.47906764349e-09	0.0777425915986	0.753977091891	0.00615033342965	0.00869128925057	313444	HC310	HC357	hiatus_hernia	duodenal_ulcer	HC	HC	41260.0	3621.0	24368	0.130177133202	1.41314114917
FH1286_HC443	3.26435444906	0.000548569087765	0.0983746254248	0.753255270726	0.00344351817468	0.00526963703479	311199	FH1286	HC443	severe_depression	headaches_(not_migraine)	FH	HC	54576.0	2974.0	30614	0.230751679231	1.53030614838
HC303_HC86	6.08260294052	5.91234639621e-10	0.00472682471896	0.752676418661	0.477983469941	0.010083965624	306946	HC303	HC86	malabsorption/coeliac_disease	migraine	HC	HC	2094.0	12180.0	1451	0.123742487554	0.02109689196
HC382_HC385	8.56203640779	5.544558377e-18	0.0359257699985	0.751542394987	0.0201236906667	0.0137647910818	313229	HC382	HC385	asthma	peripheral_vascular_disease	HC	HC	43626.0	3517.0	11253	0.0877761269858	0.684009275922
HC382_HC438	4.81777486713	7.25840165944e-07	0.0353950222957	0.751289054181	0.0202923588717	0.0129666267982	299862	HC382	HC438	asthma	hepatitis	HC	HC	43626.0	1138.0	10614	0.15594108793	0.638990611204
HC221_HC259	3.37441668112	0.000369861524754	0.0931806795677	0.750328031657	0.012097079604	0.00543425374438	303846	HC221	HC259	diabetes	aortic_stenosis	HC	HC	20440.0	1593.0	28313	0.222357848056	0.449220301285
HC310_HC85	9.99726413919	7.83327238468e-24	0.0350242124723	0.745229345022	0.00903633620166	0.0203036602436	318851	HC310	HC85	hiatus_hernia	enlarged_prostate	HC	HC	41260.0	5078.0	11168	0.0745433285193	2.24689075201
HC136_HC295	6.26054949798	1.91811640311e-10	0.00725860511367	0.743800715628	0.0597483929925	0.0265616153796	309218	HC136	HC295	connective_tissue_disorder	carpal_tunnel_syndrome	HC	HC	2515.0	8152.0	2244	0.118807576854	0.444557820709
HC221_HC423	3.82423454855	6.55894960791e-05	0.091311192159	0.737501507338	0.0122294730488	0.00564403089341	305720	HC221	HC423	diabetes	respiratory_failure	HC	HC	20440.0	1819.0	27916	0.192849444242	0.461510554943
HC38_INI30530	11.8054354079	1.82946019039e-32	0.00469952092483	0.737245753685	0.275542073268	0.00732624736291	312054	HC38	INI30530	psoriasis	sodium_in_urine	HC	INI	5074.0	327302.0	1467	0.0624496876407	0.026588488923
HC310_HC64	7.03493328541	9.96781830892e-13	0.10159145177	0.735424983177	0.00522770023304	0.00528246970512	324243	HC310	HC64	hiatus_hernia	irritable_bowel_syndrome	HC	HC	41260.0	11556.0	32940	0.104539013142	1.01047678131
HC261_HC371	3.34337056436	0.000413836476086	0.00468043685546	0.729933190063	0.0429017096812	0.0161794129335	316639	HC261	HC371	eczema/dermatitis	bronchitis	HC	HC	11643.0	4987.0	1482	0.218322550855	0.377127463071
HC136_HC96	9.76393724626	8.03944482965e-23	0.003941179153	0.728432101591	0.0814414749304	0.0952429907404	301995	HC136	HC96	connective_tissue_disorder	polymyalgia_rheumatica	HC	HC	2515.0	1421.0	1190	0.0746043407715	1.16946544524
INI30050_INI30270	52.495765756	0.0	0.0514333744251	0.727277252301	0.0158548558407	0.0118025395682	345627	INI30050	INI30270	mean_corpuscular_haemoglobin	mean_sphered_cell_volume	INI	INI	328028.0	322755.0	17777	0.0138540174017	0.744411660808
